model,accuracy,balanced_accuracy,f1,roc_auc
LogisticRegression,0.9605999317377494,0.9639222871796126,0.9074235427376491,0.9936069473651676
RandomForest,0.9422982046711335,0.9156529422875334,0.8571844660194174,0.9880993025652156
GradientBoosting,0.9457877360769162,0.9104673148760044,0.8621676954574142,0.9804886653417073
