accuracy,balanced_accuracy,f1,roc_auc,split,model
0.9601196410767697,0.971262791307874,0.9130434782608695,0.996618801135415,2010-20 to 2021-24,LogisticRegression
0.9441674975074775,0.8955465973332062,0.86,0.9897073205638909,2010-20 to 2021-24,RandomForest
0.9511465603190429,0.8965186174653532,0.8740359897172236,0.9933061803783126,2010-20 to 2021-24,GradientBoosting
0.9610802223987291,0.9565817830513512,0.9018036072144289,0.9905950935949202,2003-15 to 2016-20,LogisticRegression
0.9404289118347895,0.9357592872418605,0.8543689320388349,0.9864912845665403,2003-15 to 2016-20,RandomForest
0.9404289118347895,0.9244160122866556,0.8502994011976048,0.9676711503051021,2003-15 to 2016-20,GradientBoosting
