,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31
slope_MA_20,-0.20958935077221091,0.016553205294237105,-0.1575404852406461,-0.00358631882631828,0.2428976745695105,0.2648047212938865,-0.17723117135920693,0.2086520184798007,0.1560471726857678,0.019982788243886874,-0.23763342976947283,0.06962106125724057,-0.10242801771497083,0.057129981549157875,0.08862573588341385,0.031154968484263596,0.26918850263169597,-0.2811961730925738,0.6130601878204459,0.20845841601569565,-0.13852320106681015,-0.017066705609703123,0.0033339144956790177,0.13692382758728341,-0.048336166058828026,-0.021663514082754697,0.03410568003600043,-0.07118428361789672,-0.011736018464411822,0.002707258719607248,-4.3778350261460534e-15
slope_MA_50,-0.15408696625613316,0.011949999817775895,0.2011886733569024,-0.014058925492379802,0.361894607748934,-0.21273117145074824,0.1470949904289978,-0.19473276586209984,0.1878129299617256,-0.21581855144762366,-0.11405725194847066,-0.2410694876928332,-0.40183432212867193,0.32234834174279003,-0.033786094637178424,0.12209426157711877,-0.17705312243711221,-0.040973567423611926,0.03861135810216729,0.04222693911479687,0.27532129387372184,-0.33457843689769373,-0.10597587955302426,-0.0980667897045036,0.10250828232181276,-0.03078577671439783,-0.05499428014399396,0.07635849836740762,-0.005810373788425643,-0.004422311000643094,4.554068854486533e-15
slope_MA_200,-0.07814147099267095,-0.001451190222214277,0.3288279038540296,-0.3036049980167457,0.03126946027968957,-0.03311069041095829,-0.2815223045110412,0.16188067097557882,0.2341238220993255,0.05940624459457568,-0.34782141605032646,0.19283233090427998,-0.059494058857057996,-0.13511531827621437,0.11242335492278809,-0.2798992045628558,-0.4982671219685504,0.0583424257883496,-0.09646739852782138,-0.08423411441287774,-0.21030709790643715,-0.04783257288292763,0.07412966171689542,0.08464645640154568,-0.16003950470732464,0.048300894372386494,0.0014051784384534033,0.03856207076689415,0.008921562423947252,0.0012625388567933241,5.33715355284758e-16
current_drawdown,-0.25649112166431504,-0.051228808557822254,0.21950395351405128,-0.2631750178156292,-0.016784984688329514,-0.03591439189336444,-0.08748840785756044,-0.06474611378009193,-0.049717771000319044,-0.09910082317099948,0.037469907855214105,-0.06339534029060123,-0.04269530483708615,0.024237901625507822,-0.030675928637560516,0.06849274126302247,0.20460136563066608,0.049944499918023265,-0.022887538599435063,-0.03990823170463165,-0.3254046504662367,0.1455434401376569,0.4320137008117698,-0.23010120965323064,0.5906925616448462,-0.08511693777076071,0.01824980153036597,-0.07109987077436755,-0.005289728489451581,-0.01623471922643476,3.86502230353707e-15
max_drawdown_252d,-0.15211902971340255,-0.009492473114184169,0.33378681423874235,-0.2277642456498041,-0.19548905290633975,-0.12109265290158279,-0.17217649510441324,0.12834932221703443,-0.2173069830058672,0.01186652546047334,0.048114972108081196,0.1615133408203183,0.21980533718672154,-0.16264962949521253,0.2536753268230494,0.015003532924032855,0.10612454553934889,-0.07309184316573483,0.16364490334583415,0.14443576663634625,0.5622677005605714,-0.11292963590649675,-0.24512911347242772,-0.12185101831540267,0.15781131730176154,-0.01850186638435842,0.025891660591313023,-0.0730852959666688,-0.005688239831110463,-0.0006046582130756534,-1.7215049332729146e-15
downside_dev_20d,0.33363348136872006,0.038534859279799126,0.029830160585595733,0.030391284526349205,0.057450049206093215,-0.014233149947590564,0.021268134572195705,-0.04117407953301432,0.0245531830898466,0.008691364228143077,-0.055861124602605776,0.015506893071755125,-0.03732270226914345,-0.03450623464020461,0.07488724731242576,-0.022813311431769588,-0.08807001054419886,-0.022747813676683614,0.03165760385577225,0.06396033365599432,0.01053238559585398,0.026234348121340692,-0.017829910943454163,0.14893554925057925,0.23067332959240142,-0.2231859505066924,0.07437277666264923,-0.24235369119942354,-0.05148467739641134,0.8126393956538734,-4.089584075122282e-13
autocorr_20d,-0.028650572271430773,0.0017852430531572578,0.0043073255828999,0.024200071706949676,0.22261842190964432,-0.23011895932426402,0.47686226344296306,0.681090486557469,-0.19321800310903417,0.14394366460433594,-0.14133967280751342,-0.14572617265902543,-0.11110825640925012,-0.1817085155533911,0.1393157946360648,-0.02895630512843835,0.1036301779080651,0.11284529740888173,-0.08998226286794277,-0.036968012674113725,-0.040624774040005154,-0.02191187891531465,0.05675023050111453,-0.03073065285823127,0.02168857729183261,-0.004066124172605387,0.005702544064280339,-0.0118450770007841,-0.0025392893526724487,0.0011957756335666098,-1.011127167017043e-15
dVIX_1d,-0.02219419858061715,0.41020214059475574,-0.032560775428431804,-0.09637944190595298,-0.035461703709570774,-0.015011227919894551,0.024031456603220827,-0.03651121311286603,-0.03842149713127221,0.061176129978142216,-0.04593413489331212,-0.1626534333127397,0.13572034055134904,0.1439070493640723,-0.02624708961761016,-0.1308817760489778,-0.02891400658326263,0.3161380595488611,0.1204459804433742,0.2457597149213132,-0.029997435198215877,0.006230762550156768,-0.002070197777227482,-0.056941795974211395,-0.05226141339524938,-0.18719212077328312,0.100600655004518,0.021884119562675386,0.7060541517855633,0.003500669557053998,-1.3338830430933444e-14
dVIX_5d,-0.012539895574097702,0.23305450882171277,0.07512204088357896,0.2259068332565273,0.22823835050105395,-0.057034658637619945,-0.40358715078003166,0.032961352072776146,-0.1844397158504597,0.27651626780254657,-0.05912437832522373,-0.15356069445935125,0.17145078401966352,-0.12442040626983618,0.0293463993754145,0.6349323871023946,-0.13982679399258097,0.0038470396124298673,-0.12451198643135178,0.02271847506911748,-0.10998351353332564,-0.14714940881214,0.04719733950744657,0.06643007598667837,0.02025246772236345,0.009142405942023715,-0.0377533521586998,0.06853387369367839,-0.022640494106908212,-0.0005434813927137697,2.9649226718382127e-15
VIX_Zscore_20d,-0.03301232849805358,0.3779756142096372,-0.08102389927420048,-0.16458687206055161,-0.07328539979972568,0.0027225998649031413,0.07193607818789559,-0.0618501317541331,-0.033071109548239684,0.14910188825096393,-0.12105239702556186,-0.1578685277131848,0.1353569018416365,0.19884393164885975,-0.02737587779808181,-0.07695189340669306,-0.049758668461658676,0.382859574186362,0.26873593820766795,-0.1635924760140674,0.09435418495196482,0.07757642343664896,0.005424737723201408,0.1376437515612518,0.09121721068109104,0.2557060538752586,-0.35854458335184525,-0.15725743550889928,-0.41430130926712394,-0.0030110411386188585,5.252140271582756e-15
